text,sentiment
"“Sige na nga, mabait ka naman. Pero, naalaa ko, may ipon ka naman, ‘di ba? Bakit hindi yun na lang ang ipambili mo?”",neutral
"Hindi sumagot si Anna ng ilang segundo at sinabi niya, “hindi ko po kasi naisip. Gagamitin ko na lang ang aking ipon para bumili.”",neutral
"Pagpunta ni Anna sa palaruan, nakasalubong niya si Abby. ",neutral
"“Ako rin, pupunta.” Magkasama silang nagpunta sa palaruan. ",neutral
“Pupunta ako sa palaruan.”,neutral
"“Abby, bibili ako ng hamster, sabi ni mama gamitin ko raw ang sarili kong pera kung gusto ko ng hamster.”",neutral
Pagbalik sa bahay ipinakita niya ang pinili niya. ,neutral
"“Mama, Papa tingnan niyo po ang pinili ko, isang puti at isang kayumanggi. ",neutral
Ang pangalan nila ay Koko at Perlas.”,neutral
"Kinabukasan, nagmamadali niyang pinuntahan ang kanyang mga alagang sina Koko at Perlas. Pinakain niya ang mga ito at tuwang-tuwa siyang pinagmasdan ang kanyang mga alaga.",neutral
Lumapit ang kanyang nanay at sinabing “Iyan ang pinag-ipunan mo sa iyong mga baon kaya’t ingatan mo at alagaan nang mabuti”.,neutral
“Opo!”,neutral
"“Tandaan mo, sila ay may buhay kaya’t dapat huwag kalimutan ang tungkulin mo bilang tagapag-alaga nina Koko at Perlas.” dagdag ng papa ni Anna.",neutral
“Tatandaan ko po!”,neutral
Maya-maya ay nagpaalam si Anna sa mama at papa niya. ,neutral
“Pwede na po ba akong pumunta sa palaruan at ipakita sila Koko at Perlas kay Abby?”,neutral
“Syempre naman anak.”,neutral
"Noong araw, hindi nagtatanim ng halaman at hindi nag-aalaga ng hayop ang mga tao para may makain.",neutral
Umaasa lamang sila sa kalikasan.,neutral
Kaya tumitira sila kung saan may pagkain.,neutral
May tumitira sa mga kuweba sa bundok at nabubuhay sa bungangkahoy at nahuhuling hayop.,neutral
May tumitira sa tabing-ilog at dagat at nabubuhay sa pangingisda.,neutral
Tumitira sila sa isang lugar hanggang may makakain at humahanap ng ibang lugar pag wala nang makain.,neutral
Kasama ng iba ang mag-asawang Banag at Danas sa paghahanap ng bagong lugar na matitirhan.,neutral
Dati silang nakatira sa tabing-dagat.,neutral
Gusto ni Banag na humiwalay sila sa iba at mamalagi sa isang magandang pook.,neutral
Gusto kong isilang doon ang ating anak.,neutral
Sinunod ni Danas ang hiling ng asawa.,neutral
Pumili sila ng isang magandang pook sa bundok at doon nagtayo ng munting bahay.,neutral
Tahimik ang napili nilang pook sa bundok at sagana sa prutas at hayop na makakain.,neutral
"May malinaw na batis sa malapit, at maraming isdang nahuhuli si Danas.",neutral
Naglakad siya nang naglakad at nakarating sa kabilang bundok.,neutral
Inabot ng matinding pagod si Danas sa gitna ng isang malapad na parang.,neutral
Nahiga siya sa damuhan at nakatulog.,neutral
"Noon biglang humihip ang hangin, at sumayaw at umawit ang mga damo.",neutral
Inabot ng matinding pagod si Danas sa gitna ng isang malapad na parang.,neutral
Nahiga siya sa damuhan at nakatulog.,neutral
"Noon biglang humihip ang hangin, at sumayaw at umawit ang mga damo.",neutral
Nagising at nagulat si Danas.,neutral
Pinakinggan ni Danas ang awit ng mga damo.,neutral
Pulutin mo ang aming mga bungang butil.,neutral
Masarap na pagkain ang aming mga butil.,neutral
Noon napansin ni Danas ang mga uhay ng damo.,neutral
Hitik sa mga gintong butil ang bawat uhay.,neutral
Pumitas siya ng isang butil at kinagat.,neutral
"Iluto mo ang puting laman ng butil para lumambot at maging masarap na pagkain.",neutral
Pumitas ng maraming uhay si Danas hanggang mapuno ang kaniyang sisidlan at nagmamadaling umuwi kay Banag.,neutral
"Tulad ng utos ng mga damo, inalisan nila ng balat ang mga butil at iniluto bago kinain.",neutral
"Kinabukasan, nagbalik sa parang si Danas. ""Itanim mo ang aming butil,"" awit ng mga damo.",neutral
Itanim mo sa lupang pinalambot ng ulan. Alagaan mo ang mga butil na tutubo.,neutral
Tuwing mag-aani ka'y maglaan ha ng mga butil para muling itanim at alagaan.,neutral
Matuto kang magsaka at mag-alaga ng halaman.,neutral
Sa pagsasaka ka aasa ng ikabubuhay.,neutral
Biglang naramdaman ni Danas ang patak ng ulan.,neutral
Nagdidilim ang langit nang tumingala siya.,neutral
"Palay ang itawag mo sa iyong pananim, awit ng mga damo na lalong sumigla ang pagsayaw pagbuhos ng malakas na ulan.",neutral
lbalita mo sa ibang tao ang lahat. Ituro mo sa kanila ang pag-aalaga ng palay.,neutral
Sinunod ni Danas ang mga utos ng damo.,neutral
Gumawa siya ng bukid sa paligid ng bahay at pinag-aralang mabuti ang pag-aalaga ng palay.,neutral
ltinuro niya sa ibang tao ang natutuhan.,neutral
"Lumawak nang lumawak ang mga bukid na taniman, at mula noon, naging magsasaka ang mga tao.",neutral
Hindi na rin sila palipat-lipat ng tirahan.,neutral
"Ako ang hari ng kalsada,sabi niya.",neutral
Walang kinatatakutan si Kas.,neutral
Hindi siya takot sa jeep at sa kotse.,neutral
Hindi rin siya takot sa taxi.,neutral
"Kahit sa pulis at sa pasahero, hindi rin takot si Kas.",neutral
"Dahan-dahan lang ang takbo, sabi nila kay Kas.",neutral
Hindi sila pinansin ng barumbado.,neutral
Kahit pulis ay walang magawa.,neutral
Talagang walang magawa ang lahat kay Kas.,neutral
"Dahan-dahan lang, Kaskasero, sabi ng mga halaman sa daan.",neutral
At muli siyang kumaripas ng takbo.,neutral
Minsa'y kinausap siya ni Ulap.,neutral
Wag ka namang buga nang buga ng usok.,neutral
Nangitim pati ilong ni Ulap.,neutral
"Sa dumi ng usok, muntik na siyang maiyak.",neutral
Kahit ang araw at ang buwan ay walang nagawa kay Kas.,neutral
Wala siyang pinakikinggan kahit na sino.,neutral
"Isang araw, naglasing si Kas.",neutral
Glug-glug-glug-glug.,neutral
Inom nang inom si Kas.,neutral
Mabilis na mabilis ang takbo ni Kas.,neutral
Mabuti na lang at wala siyang sakay.,neutral
Lasing na lasing ang bus na walang modo.,neutral
Ang bilis-bilis ng kaniyang takbo.,neutral
Mas mabilis pa sa jeep.,neutral
Mas mabilis pa sa taxi.,neutral
Mas mabilis pa sa kotse.,neutral
"Pero hindi, pa rin siya nasiyahan.",neutral
Ang takbo'y lalo pa niyang binilisan!,neutral
Nabangga si Kas.,neutral
"Bali-bali ang bakal, at ang tubo.",neutral
Wasak ang makina at baluktot ang tambutso.,neutral
Parang napisang lata si Kaskasero.,neutral
Hindi na ulit nakalabas ng daan si Kaskasero.,neutral
Siya ay itinapon sa tambakan ng mga lumang sasakyan.,neutral
"Doon sa libingan ng mga walang modo, hindi na makapagyabang si Kaskasero.",neutral
May isang pusa na nakatira sa isang malaking bayan.,neutral
Ang kanyang pangalan ay Stanley.,neutral
Ngunit tinatawag siya ng lahat na Pusang Duwag ...,neutral
"Magandang umaga, Pusang Duwag.",neutral
Si Stanley ay ang pinakamalaking duwag na pusa sa bayan.,neutral
"Isang gabi, naglalakad si Stanley kasama ang kanyang mga kaibigan na sina Tabby at Puti.",neutral
Isang maliit at mabalahibo ang tumakbo sa kanilang daanan.,neutral
"Habulin natin ito, sabi ni Tabby.",neutral
Ang bubwit ay tumakbo sa loob ng isang bahay.,neutral
"Mukhang walang tao sa loob ng bahay, sabi ni Puti.",neutral
Paano natin mahuhuli ang bubwit na iyon?,neutral
"Narito ang isang daanan ng pusa, sabi ni Tabby.",neutral
Pumasok tayo.,neutral
Ngunit sinundan niya ang kanyang mga kaibigan sa loob.,neutral
Ngayon nasaan na ang bubwit na iyon? sabi ni Tabby.,neutral
"Bigla, tumakbo ang bubwit sa pasilyo at pababa sa bodega ng alak. Tignan ninyo!",neutral
Tumakbo sina Puti at Tabby pababa.,neutral
"Masyadong madilim doon sa baba, sabi ni Stanley.",neutral
Dito na lang ako.,neutral
Nakaramdam si Stanley ng ingay.,neutral
May isang bagay sa sala.,neutral
"Puti, punta ka dito! tawag ni Stanley.",neutral
May isang higante sa sala.,neutral
Nagtatakbo paakyat si Puti sa hagdan.,neutral
Isang higante? tanong niya.,neutral
Sigurado ka?,neutral
Si Puti ay gumapang papunta sa sala.,neutral
"Yun lang bintana ang kumakalampag, sabi ni Puti.",neutral
May huhulihin pa kong bubwit.,neutral
Tumakbo si Puti pabalik sa baba.,neutral
"Pero, nakarinig si Stanley ng isang ingay.",neutral
May isang bagay sa banyo.,neutral
Mayroon akong aso.,neutral
"""Ang pangalan niya ay Lala."" ",neutral
"""Kapag napagod, ipipitas niya si Chisco ng kahit anong bunga para kainin ito sa lilim ng isang matabang kamagong na siyang pinakapaboritong puno ni Chisco sa buong plantasyon.""",neutral
"""Hihilata ang bata sa lupa at sa lilim ng mga sanga, kakainin niya ang mga bungang bagong pitas ng kaniyang ama – minsan’y aratiles, mangga, mabolo, santol, rambutan, lanzones o bayabas.""",neutral
"“Gusto ko nandito pa siya pag malaki na ako at mag-aabot na ang mga daliri ko pag yakap ko siya!” sabi ni Chisco.""",neutral
"Alam mo, naririnig ka niya,” sabay takip ng daliri sa labi, na parang may nasabing isang malaking sikreto.""",neutral
"""Mula noon, walang araw na pinalampas si Chisco na hindi niya dinadalaw ang matabang puno ng kamagong para sabihan itong tumubo pa nang husto.""",neutral
"""Yayakapin niya ang katawan ng puno at kakausapin itong parang isang kaibigan.""",neutral
"""Tila nararamdaman ito ng puno hanggang sa kaniyang mga ugat, at nagsimula itong yumabong.""",neutral
"""Lumago at tumingkad ang luntiang mga dahon nito, tumibay ang katawan, namukadkad ang mga bulaklak at namunga ng kayumanggi at mamula-mulang mabolo, kahit hindi na kapanahunan.""",neutral
"""Ngunit isang maaliwalas na umaga noong tag-araw, hindi na dinalaw ni Chisco ang puno.""",neutral
"""Tuwing umaga, kinakawayan niya ang kaniyang amang paalis na upang alagaan ang kaniyang mga kabayo at mga puno.""",neutral
"""Kumusta, alaga naming pusa?"" sabi ni Boyet habang pinakakain siya.",neutral
"""Gusto niyang makalaro si Boyet na nagsasabit ng kapirasong papel sa kuwintas niyang pisi.""",neutral
"""Gusto rin niyang makalaro si Niño.""",neutral
"""Kumusta, alaga naming pusa?"" sabi ni Niño habang pinaiinom siya ng tubig.",neutral
"""Gusto niyang makalaro si Niño na nagsasabit din ng kapirasong papel sa kuwintas niyang pisi.""",neutral
"""Ang totoo, dalawa ang may-ari sa pusa, si Boyet at si Niño na nakapulot sa kaniya habang naglalaro ang dalawang bata sa malawak na bakuran ng kanilang mga bahay.""",neutral
"""Pero di natigil ang paghahatid ng mensahe ng pusa.""",neutral
"""Sa araw-araw, may mahalagang tungkulin ang karterong pusa.""",neutral
"Kailangan nilang mapaabot ang pagpapalipad nito sa bintana ng kanilang bahay.""",neutral
"""Singganda ng kalikasan, ng mismong buhay, ang kanyang mukha, at bilog tulad ng daigdig ang buhok niyang sing-itim ng gabi.""",neutral
"""Humuni ang mga ibon.""",neutral
"""Nang isukat niya ito, niyakap ng mga bulaklak ang kanyang buhok at ang mga sanga dito.""",neutral
"“Alam ko kasing paborito mo ang kulay na iyon.”""",neutral
"""Pinatingkad ng kanyang korona ang mga sanga’t dahon, pinaganda ang kanyang ulo, at pinanatiling malinis ang kanyang buhok; binigyan nito ng maayos na tahanan ang mga ibon.""",neutral
"“Pinipili ko ang handog ng kabataan bilang aking korona,” pahayag ng reyna sa buong mundo.""",neutral
"""Isang malawak na parang na maaari ninyong takbuhan? Isang gubat na hitik sa mga punong aakyatin at mga hayop na kakalaruin? Isang lawa, kung saan kayo maaaring lumangoy kasama ang mga isda mula umaga hanggang takipsilim?”""",neutral
"""Humakbang paharap si Maya at sinabing, “Lahat ng iyon ay naibigay mo na sa amin, Inang Kalikasan!”""",neutral
"""“Pero nakilala ko ang isang mabait na sundalong Hapón sa San Rafael, si Daisuke.""",neutral
"""Umibig siya sa isang babaeng Filipina.""",neutral
"""Nagsilbing tulay akó sa kanilang lihim na pag-iibigan.""",neutral
"""Bílang pasasalamat, ibinigay niya sa akin ang isang sombrerong pandigma.""",neutral
"""“Nang matapos ang giyera, maraming natuwa sa pag-alis ng mga Hapón.""",neutral
"""Pero hindi ko akalaing ang naiwan niyang anak sa babaeng Filipina ang aking iibigin at mapapangasawa pagláon.""",neutral
"""Kailangang mahawian ang sukal at mataniman ng mga bagong halaman ang harding ito,” parang biglang lumakas si Lolo.""",neutral
"""Nagyakap at nagtapikan sila ng mga balikat.""",neutral
"""Gusto niyang laging may ginagawa, gusto niyang nababantayan ang lumang bahay na ito, gusto niyang nakikita ang mga lumang gamit dito, gusto niyang nagtatanim, gusto niyang makipagkuwentuhan sa kaniyang kapanahon.""",neutral
"""Kapag magaling na magaling na siya, isasáma natin uli siya sa Maynila.""",neutral
"""Si Tiyo Luis muna ang mag-aalaga sa iyong Lolo,” dugtong ni Tatay.""",neutral
"""Lumapit ako kay Lolo para magpaalam.""",neutral
"""Babalik kaming muli kapag walang trabaho si Tatay,” sagot ko.""",neutral
"""Mahigpit na yakap ang ibinigay ko kay Lolo.""",neutral
"""“At tuwing Linggo, pangako kong lilibutin natin ang buong San Rafael.""",neutral
"""“Kailangang lagi tayong naghuhugas ng kamay gamit ang sabon at tubig, para sigurado tayong malinis ang ating kamay tuwing hahawak tayo sa ating sarili.”""",neutral
"Kung uubo, umubo sa ating siko, at huwag sa kamay.”""",neutral
"Paano kaya pwedeng bumati sa iba nang hindi nakikipagkamay?”""",neutral
"""“Tama! Pwede nga! Kaya sa panahong ito, hindi na muna tayo pwedeng lumabas ng bahay para maging ligtas tayo at ligtas din ang iba,” sabi ni Aling Marie.""",neutral
"""Dali-dali syang pumunta sa kanilang bintana at sumigaw, “Julie, gusto mong maglaro? Kahit hindi ako pwedeng pumunta diyan, pwede tayong maglaro!”""",neutral
"""Sa katunayan, kasinggaling niyang maggupit, magmasahe, at mag-ahit ang mga kasamahan, ngunit dahil hindi alam ng mga suki kung paano makikipag-usap sa kanya, doon na lang sila lumalapit sa iba.""",neutral
"""Namagitan na si Mang Enteng para wala nang gulo.""",neutral
"""Nang maiupo sa wakas si Berting sa silya, pinagpag ni Lino ang isang malinis na berdeng kapa at isinuot ito sa kanya.""",neutral
"""Nahuli ni Lino ang tingin niya at sinalubong kaagad ng ngiti, at pagkatapos ay ngumuso sa laruang hawak ng bata—ang asul na eroplano na regalo sa kanya ni Tatay.""",neutral
"""Maya’t maya ay hihinto siya para tingnan kung nakikinig pa ang barbero, pero di nagtagal ay kumbinsido na siyang mabuti siyang pinakikinggan ni Lino.""",neutral
"""At nang ibinida niya ito pag-uwi kay misis, na agad-agad namang ibinalita sa mga katsismisan niya, unti-unting dumami ang nagpapagupit kay Lino.""",neutral
"""Hindi nagtagal, dumami ang mga suki ni Lino, at siya na rin ang naging opisyal na barbero ng mga batang lalaki ng buong Barangay Siete.""",neutral
"""Makakapal at malalakas ang ugat na nag-aangat sa iba’t ibang bahagi ng sahig.""",neutral
"""Madilim na luntian ang mga dahon nito habang dalawang beses sa isang taon naman kung mamukadkad ang kulay rosas nitong bulaklak.""",neutral
"""Ang naglalakihan nitong sanga ay tahanan ng iba’t ibang ibong may dalang buto mula sa mga napagdapuang lugar.""",neutral
"""Natuklasan ng mamamayan ng Maaliwalas na iisa ang saloobin nila: walang sinuman ang may karapatang kunin ang kanilang mga halaman at puno para ipagbili sa kanila ang malinis na hangin, na nararapat na pag-aari ng lahat.""",neutral
"""Pinalakas ng pinagkaisang layunin, ginawa nila ang dapat ay matagal na nilang ginawa: itinaboy nila ang Meyor at ang mga galamay niya at binalaang huwag nang bumalik kailanman.""",neutral
"""Binawi nila ang bayan, hinayaang malayang tumubo ang mga puno at halaman, at nagtanim sa mga lugar na may kakaunting halaman.""",neutral
"""Dahil rito, luminis ang hangin at naging luntian ang bayan.""",neutral
"""Pagkatapos niyang magpahayag, nagkaisa ang taumbayan:""",neutral
"""Sa wakas, naging malaya na ang bayan sa haring malupit at gahaman.""",neutral
"""“Pumili tayo ng bagong pinuno,” pangunguna ni Pedro.""",neutral
"""At sumang-ayon naman ang lahat.""",neutral
"""Sa kanilang pagkakaisa, nailuklok nila ang isang bagong pinuno na magtataguyod at magtatanggol sa kabutihan, katarungan at kapayapaan.""",neutral
"""Taliwas sa likas nilang mga ugali, magkasundo ang aso at pusa.""",neutral
"""Para sa mga alaga nila, ang asong si Brownie at ang pusang si Muning, hindi mahaharang ng bakod ang pagkakaibigan.""",neutral
"""Madalas, makikita silang isinisiksik ang mga nguso sa mga butas ng bakod, nag-aamuyan at nagkukumustahan.""",neutral
"""Lagi silang lumulusot sa mga siwang para bumisita sa kaibigan o mamasyal sa bakuran ng isa’t isa.""",neutral
"""“May sungay ang hari… may sungay ang hari…”""",neutral
"""Lumipas ang ilang buwan, napansin ng mga tao na labindalawang barbero pa ang naglaho sa kanilang bayan.""",neutral
"""Agad nilang naririnig ang anomang salita na sasabihin laban sa hari.""",neutral
"""Huhulihin nila ang suwail na nagsabi at dadalhin sa kung saan, at saka sila uugong nang sabay-sabay para burahin at makalimutan ng mga tao ang kanilang narinig.""",neutral
"""Isang araw, sa sukdulan ng kasamaan ng hari, umusbong ang dalawang maliliit na sungay sa ulo niya.""",neutral
"""At bago siya magtago sa palasyo, binasa ng alipores ng hari ang bagong utos niya para sa mga tiktik-balang:""",neutral
"""Ang tagapagpatupad ng parusa: ang libo-libo niyang mga alagad na tiktik-balang — mga insektong mababagsik, matatalim ang mga ngipin, at may malalaking tenga.""",neutral
"""Ipinagbabawal din niya ang maraming bagay.""",neutral
"""Nang humupa ang alikabok, nakita ng Meyor at ng mga tauhan niya na hindi lang si Carl ang naglakas-loob na labagin ang batas, kundi lahat ng naninirahan sa bayan.""",neutral
"""Gumuho ang mga dingding ng mga kabahayan sa buong paligid.""",neutral
"""Nagsibagsakan ang mga ito at nabalot ang buong Maaliwalas ng dambuhalang ulap ng alikabok.""",neutral
"""Iginitgit niya pa ang ilong sa salamin, nang biglang may bali-balikong brasong sumuntok palabas ng bintana at sinapok siya sa mukha!""",neutral
"""KABOG! Bumagsak ang mga pader na nakapaligid sa lihim na hardin.""",neutral
"""“Tuwing uubo ang taong may sakit, sumasama ang virus sa kanyang ubo na maaring makahawa sa taong malapit sa kanya.""",neutral
"""Pwede ring magkaroon ng Coronavirus ang katabi niya.""",neutral
"""Pero dahil hindi niya nakikita ang virus, hindi niya alam na maaaring makahawa siya sa iba.""",neutral
"Pansamantala lang ito hanggang magamot ang mga may sakit at mawala na ang lahat ng virus.”""",neutral
"""“Naku, pasensya na, hindi po ako marunong humawak ng bata,” ang sagot ni Rex.""",neutral
"""“Haru, iiwan na muna natin ang Lolo mo sa lumang bahay na ito.""",neutral
"""Kailangang may magbantay at mag alaga sa kaniya.""",neutral
"""Delikado na siyang iwan sa ating bahay.""",neutral
"""Marami na siyang nakalilimutan, ‘ni hindi na niya táyo nakikilala, kahit ang ating mga pangalan,” sabi ni Tatay.""",neutral
"""Bawal daw po munang magtabi-tabi para hindi mahawa o makahawa ng… virus nga ba ang tawag doon?” sambit ni Ella.""",neutral
"Coronavirus ang tawag sa virus na ito.""",neutral
"""“Kapag mayroong virus na ito ang isang tao, pwede siyang magkaroon ng lagnat, ubo,...”""",neutral
"""...pananakit ng katawan, o mahirapang huminga.""",neutral
"""“Ang iba naman ay masakit din ang tiyan at lalamunan.”""",neutral
"""“Malayo po ba ‘yon? Hindi na po ba ako pwedeng makipaglaro ng 'Nanay, Tatay' kay Ben ‘pag isang metro ang layo?""",neutral
"""Halos tatlong taon iyong hindi kami nag-eeskuwela,” kuwento ni Lolo habang lumilinga-linga sa aming dinaraanan.""",neutral
"""Eroplanong pandigma palá iyon ng mga Hapón.""",neutral
"""Biglang-bigla, hindi na kami puwedeng maglaro.""",neutral
"""Sandali, naalala kong bigla si Luis, na aking kasáma at naging kaibigan sa matagal na panahon.""",neutral
"""“Sa bawat ipot na ibinabagsak ng mga ibon, may sumasabog at nasusunog.""",neutral
"""Nabagsakan ng ipot ang aming Gabaldon sa eskuwelahan.""",neutral
"""Pero nakamamatay palá ang ipot ng mga ibong iyon, sumasabog!""",neutral
"""Kaya nga lang, mabilis na nasira ang korona dahil kinuha ng mga ibon ang mga talulot at talahib para ipanggawa ng kanilang mga pugad.""",neutral
"""Sa sobrang liwanag nito, nasilaw si Inang Kalikasan.""",neutral
"""Dala naman ng buwan at mga bituin ang koronang pinilas mula sa kalangitan ng gabi, ngunit hindi naman ito mapansin dahil sing-itim nito ang buhok ng reyna.""",neutral
"""“Noong panahon ng giyera, nag-iba ang búhay naming mga batà.""",neutral
"""Kay daming hindi na namin kaagad maaaring magawa,” simula ni Lolo.""",neutral
"""Ngunit matigas ito’t masakit kung isusuot.""",neutral
"""Ang masama pa, nababasa ng tubig si Inang Kalikasan, at inaaway ng mga isda ang mga ibon.""",neutral
"""“Araw naman, mamamatay ang mga dahon ko kung hindi mo sila masisinagan, at hindi madidiligan ng ulan ang aking ulo kung magsusumbrero ako.”""",neutral
"""Napupuno ng dayami, siit, at ipot ng ibon ang ulo niyang kayganda dati.""",neutral
"""Sinubok niyang bugawin ang mga ibon, ngunit bumabalik lang ang mga ito upang muling gumawa ng pugad sa tuwing matutulog si Inang Kalikasan.""",neutral
"Ano ang gagawin ko sa buhok kong ito?” tanong ni Inang Kalikasan kay Araw.""",neutral
"""Natigil ang pagbibigayan nila ng masasarap na ulam kung hapunan.""",neutral
"""Ang problema ni Inang Kalikasan: Puno ng sanga’t dahon ang kanyang ulo.""",neutral
"""At di na rin nag-usap ang mga nanay nina Boyet at si Niño.""",neutral
"""Simula nang mailagay ang bakod, di na nakapaglaro ang dalawang bata.""",neutral
"""Nadamay sila sa samaan ng loob ng kanilang mga tatay.""",neutral
"""Naalala ng haciendero ang sinapit ng kaniyang asawa, kung kaya’t nagpasiya itong huwag nang palabasin ng bahay ang anak niya, upang huwag na itong takasan ng kaniyang hininga.""",neutral
"""Nanatili si Chisco sa loob ng apat na dingding ng kaniyang silid.""",neutral
"""Mas maikli pa sa palito ng posporo,"" madalas niyang himutok.",neutral
"Maikli ang buntot ko; mabuti ka pa, mahaba ang buntot mo.""",neutral
"""Naloloko na nga itong si Pilandok,"" sabi ng isang kawal.",neutral
Agad nilang itinapon sa dagat ang kawawang negosyante.,neutral
"Nang hindi tumigil ang paggalaw ng lubid, nagkagulo na ang mga kawal.",neutral
Basang-basa at halos di makahinga si Datu Usman nang makaahon sa tubig.,neutral
Inutusan niya ang mga kawal na itali si Pilandok at ilagay sa isang hawla.,neutral
"Pero walang ano-ano, may biglang kumagat sa kaniyang buntot!",neutral
"Habang kain nang kain si Matsing sa itaas, nilagyan ni Pagong ng tinik ang puno ng saging.",neutral
"""Ay, Pagong, namatay ang tanim ko."" ",neutral
"""Balat man kung malinamnam, hindi kita hahagisan,"" sagot ni Matsing.",neutral
Hindi magkasya sa sapatos ang malalaking paa ng magkapatid.,neutral
"Pero pagdating sa lupa ni Daginding, walang maniwalang sa buwan siya galing.",neutral
"Ito si Tipaklong, tamad at bulakbol.",neutral
Walang ginagawa sa buong maghapon.,neutral
"""Naku, bagyo yata!"" ang sigaw ni Langgam.",neutral
Maraming nasirang kahoy at pananim.,neutral
"Dahil nagiginaw, tiyan ay masakit.",neutral
"Pagdating sa lupa ni Daginding, walang maniwalang sa buwan siya galing.",neutral
Kaya wala siyang kamalay-malay na habang natutulog ay may dalawang dwende na lumitaw sa kanyang gawaan.,neutral
"Bukas ko na ito tatahiin.""",neutral
Paano makaiinom si Maya ng tubig sa baso?,neutral
